carat,cut,color,clarity,depth,table,x,y,z,price
0.23,Very Good,E,VVS1,58.6,61.0,4.02,4.04,2.36,530.0
0.84,Very Good,H,SI1,61.2,57.0,6.1,6.12,3.74,2847.0
0.91,Ideal,I,SI2,61.6,57.0,6.24,6.23,3.84,2981.0
0.7,Premium,H,VVS1,58.3,60.0,5.83,5.8,3.39,2603.0
2.0,Good,I,VS2,63.3,56.0,7.98,8.03,5.07,16544.0
1.23,Good,I,SI1,60.7,61.0,6.91,6.93,4.2,6165.0
0.9,Very Good,G,VS2,61.5,60.0,6.13,6.16,3.78,4386.0
1.19,Premium,D,SI2,58.6,61.0,6.93,,4.05,4168.0
0.51,Ideal,E,SI1,60.9,56.0,5.16,5.19,3.15,1585.0
1.52,Very Good,G,VS2,61.9,56.0,7.28,7.39,4.54,13161.0
0.3,Ideal,I,VVS2,62.2,55.0,4.3,4.32,2.68,515.0
0.4,Very Good,I,VVS1,63.5,57.0,4.68,4.65,2.96,1080.0
1.2,Very Good,E,SI1,62.6,58.0,6.73,6.78,4.23,6098.0
0.33,Premium,D,SI2,62.7,58.0,4.39,4.41,2.76,492.0
0.91,Very Good,E,SI2,63.8,60.0,6.05,6.09,3.87,
1.01,Ideal,H,SI1,62.4,53.0,6.47,6.42,4.02,4642.0
0.72,Ideal,G,SI2,62.3,54.0,5.76,5.79,3.6,2295.0
1.23,Premium,I,VS1,61.6,58.0,6.9,6.84,4.23,5632.0
2.06,Premium,I,SI2,61.8,58.0,8.22,8.11,5.05,14803.0
1.5,Premium,G,VS2,61.2,61.0,7.34,7.29,4.48,12308.0
1.52,Premium,G,VVS1,60.4,59.0,7.48,7.38,4.49,16104.0
0.43,Ideal,F,VVS1,62.0,57.0,4.81,4.84,2.99,1358.0
0.5,Good,E,SI2,63.2,61.0,5.02,5.05,3.18,1000.0
0.43,Premium,D,SI2,60.7,58.0,4.91,4.85,2.96,919.0
0.42,Premium,G,IF,61.6,58.0,4.76,4.79,2.94,1400.0
1.02,Ideal,G,VVS2,62.1,57.0,6.43,6.45,4.0,8401.0
0.9,Very Good,E,VVS2,62.2,60.0,6.04,6.12,3.78,6289.0
1.11,Ideal,H,VS2,64.0,58.0,6.52,6.46,4.16,5632.0
0.3,Ideal,D,VS1,61.2,59.0,4.29,4.31,2.63,742.0
0.71,Premium,D,VS1,62.9,57.0,5.66,5.6,3.54,2860.0
0.94,Premium,H,VS2,60.1,59.0,6.35,6.32,3.81,4548.0
1.5,Premium,G,VS1,62.7,58.0,7.32,7.2,4.55,13736.0
0.31,Ideal,G,VVS1,62.5,56.0,4.29,4.34,2.69,772.0
0.34,Premium,E,SI2,62.4,59.0,4.42,4.46,2.77,477.0
1.5,Good,H,VS2,63.9,59.0,7.25,7.18,4.61,8165.0
0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,864.0
0.3,Very Good,E,VVS1,63.5,57.0,4.27,4.23,2.7,995.0
1.09,Very Good,G,SI1,60.2,60.0,6.66,6.7,4.02,5305.0
1.52,Very Good,F,SI2,62.3,59.0,7.33,7.37,4.58,8192.0
0.32,Premium,H,VS2,62.4,58.0,4.36,4.33,2.71,648.0
0.53,Premium,E,VS2,58.5,61.0,5.33,5.26,3.1,1908.0
1.52,Ideal,F,VS2,62.5,55.0,7.42,7.31,4.6,14915.0
0.58,Premium,H,SI2,59.0,61.0,5.45,5.42,3.21,1066.0
0.7,Very Good,F,SI1,63.7,55.0,5.62,5.69,3.6,2192.0
0.5,Fair,F,I1,57.5,66.0,5.3,5.17,3.01,827.0
0.36,Very Good,I,VVS2,59.7,55.0,4.65,4.69,2.79,571.0
1.11,Ideal,J,SI2,61.7,57.0,6.63,6.69,4.11,4092.0
0.31,Premium,H,VVS1,60.5,58.0,4.43,4.4,2.67,907.0
2.05,Premium,J,VS2,62.3,60.0,8.15,8.09,5.06,13667.0
1.05,Ideal,G,VS2,62.8,57.0,6.49,6.45,4.06,6604.0
0.53,Ideal,H,IF,62.0,54.0,5.22,5.27,3.25,1949.0
0.52,Ideal,G,SI1,62.6,56.0,5.16,5.13,3.22,1338.0
0.31,Very Good,D,VS2,61.8,57.0,4.36,4.41,2.71,734.0
1.28,Good,G,SI1,57.6,62.0,7.17,7.13,4.12,6175.0
1.19,Premium,J,SI2,58.4,60.0,6.98,6.92,4.06,4198.0
0.32,Premium,J,SI1,62.2,59.0,4.37,4.41,2.73,365.0
0.7,Very Good,J,SI1,61.1,60.0,5.66,5.7,3.47,1959.0
0.32,Ideal,F,VS2,61.4,55.0,4.43,4.46,2.73,781.0
0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,612.0
0.42,Ideal,I,VVS1,62.5,57.0,4.77,4.8,2.99,884.0
1.01,Very Good,G,SI1,63.7,60.0,6.31,6.35,4.03,5192.0
1.06,Ideal,E,VS1,62.1,57.0,6.49,6.52,4.04,8413.0
0.41,Ideal,G,VS2,60.9,57.0,4.79,4.84,2.93,827.0
0.52,Ideal,D,VVS2,62.3,56.0,5.12,5.15,3.2,2362.0
1.01,Fair,D,VS2,59.1,68.0,6.56,6.44,3.84,5797.0
0.7,Fair,E,SI2,64.6,53.0,5.58,5.63,3.62,2092.0
0.44,Ideal,E,SI1,62.6,56.0,4.84,4.9,3.05,810.0
0.36,Ideal,F,VVS2,62.4,55.0,4.54,4.57,2.84,896.0
1.81,Fair,J,SI1,56.2,62.0,8.14,8.09,4.56,8362.0
0.9,Very Good,G,SI2,62.3,58.0,6.15,6.2,3.85,3398.0
0.82,Good,G,SI2,63.8,60.0,5.89,5.84,3.74,2512.0
0.87,Fair,I,VS2,57.3,59.0,6.29,6.44,3.65,3166.0
0.4,Very Good,F,VVS2,60.9,52.0,4.81,4.83,2.94,1049.0
0.58,Ideal,E,VS2,62.1,55.0,5.35,5.34,3.32,1761.0
0.7,Premium,G,SI1,62.0,61.0,5.71,5.68,3.53,2352.0
0.24,Ideal,F,VS1,62.0,56.0,3.99,3.94,2.46,536.0
0.27,Very Good,E,VVS2,61.2,60.0,4.16,4.17,2.55,606.0
1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,8779.0
1.53,Ideal,H,SI1,59.8,59.0,7.48,7.54,4.49,10063.0
0.33,Ideal,H,VVS1,62.2,55.0,4.44,4.4,2.75,965.0
1.05,Good,D,SI1,63.7,59.0,6.42,6.38,4.08,6174.0
0.91,Ideal,G,SI1,62.0,56.0,6.19,6.22,3.85,4922.0
1.19,Premium,I,SI2,60.1,59.0,6.9,6.82,4.12,4498.0
1.07,Ideal,H,SI2,59.2,57.0,6.7,6.64,3.95,4434.0
1.8,Ideal,H,VS1,62.3,56.0,7.79,7.76,4.84,15105.0
1.04,Very Good,F,IF,63.0,55.0,6.36,6.53,4.06,10264.0
2.0,Good,F,SI1,62.8,62.0,8.0,8.03,5.03,18069.0
1.69,Premium,F,VS2,59.8,60.0,7.79,7.74,4.64,14242.0
1.26,Premium,J,SI1,61.7,58.0,6.99,6.91,4.29,5207.0
1.23,Ideal,H,VVS2,62.0,55.0,6.85,6.9,4.26,8079.0
2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,15919.0
0.7,Ideal,I,VVS1,61.4,55.0,5.7,5.76,3.52,2489.0
0.52,Ideal,H,VVS1,61.7,53.0,5.19,5.25,3.22,1893.0
0.68,Premium,E,SI1,62.0,59.0,5.67,5.65,3.51,2224.0
1.24,Premium,I,SI2,62.8,58.0,6.88,6.79,4.28,4375.0
1.5,Premium,G,SI1,62.3,60.0,7.27,7.17,4.5,7535.0
0.34,Premium,H,VS2,61.3,60.0,4.53,4.47,2.76,689.0
0.31,Very Good,D,SI1,60.4,60.0,4.4,4.44,2.67,507.0
0.81,Premium,G,SI1,63.0,60.0,5.87,5.81,3.68,2832.0
2.2,Ideal,H,SI2,60.0,58.0,8.47,8.5,5.09,16530.0
1.52,Fair,H,I1,65.4,62.0,7.1,7.02,4.62,4648.0
0.79,Ideal,D,SI1,61.2,56.0,6.02,5.95,3.66,3185.0
0.64,Ideal,D,VVS1,61.8,54.0,5.54,5.56,3.43,4084.0
1.7,Premium,F,SI2,61.8,60.0,7.64,7.56,4.7,10377.0
1.01,Ideal,H,VS2,60.6,57.0,6.54,6.49,3.95,5317.0
1.05,Premium,E,SI2,60.9,61.0,6.61,6.55,4.01,3951.0
0.71,Premium,H,SI2,61.5,60.0,5.72,5.7,3.51,1826.0
1.22,Ideal,E,SI1,61.7,56.0,6.92,6.88,4.26,7215.0
2.24,Ideal,I,SI2,61.7,58.0,8.43,8.37,5.18,
0.9,Good,F,SI2,61.9,59.0,6.09,6.12,3.78,4013.0
0.41,Good,D,SI1,63.3,55.0,4.74,4.77,3.01,738.0
1.02,Premium,F,VS2,62.4,59.0,6.45,6.4,4.01,6773.0
0.58,Ideal,F,SI1,62.2,57.0,5.37,5.33,3.33,1705.0
0.7,Premium,H,VVS2,62.1,58.0,5.71,5.66,3.53,2536.0
0.7,Premium,G,VS1,61.4,59.0,5.59,5.74,3.51,2512.0
1.05,Ideal,F,VS1,62.1,56.0,6.54,6.59,4.08,7955.0
0.53,Ideal,G,SI1,61.8,58.0,5.16,5.19,3.2,1255.0
0.7,Good,F,SI2,64.1,58.0,5.58,5.53,3.56,1792.0
0.53,Ideal,G,SI1,60.7,56.0,5.22,5.27,3.18,1371.0
0.5,Very Good,F,SI1,61.2,61.0,5.06,5.1,3.11,1250.0
0.4,Ideal,G,VVS1,61.7,57.0,4.75,4.78,2.94,967.0
0.7,Ideal,F,VS2,61.3,56.0,5.74,5.71,3.51,2717.0
0.9,Very Good,D,VS1,58.9,59.0,6.22,6.31,3.69,5195.0
1.09,Very Good,G,IF,62.9,57.0,6.52,6.58,4.12,8650.0
1.2,Premium,J,SI1,61.5,59.0,6.84,6.81,4.2,4657.0
1.52,Premium,D,SI2,61.6,56.0,7.47,7.39,4.58,10487.0
0.33,Premium,G,SI1,62.3,59.0,4.44,4.39,2.75,631.0
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,583.0
0.59,Ideal,F,VVS2,61.2,56.0,5.45,5.43,3.33,2345.0
0.55,Ideal,F,VVS2,60.8,,5.27,5.32,3.22,2294.0
0.58,Very Good,F,VS2,60.7,63.0,5.39,5.36,3.26,1914.0
1.12,Ideal,H,SI1,62.3,56.0,6.7,6.65,4.16,5291.0
0.31,Ideal,H,VS2,61.2,59.0,4.36,4.4,2.68,515.0
0.78,Ideal,E,VS2,61.4,56.0,5.91,5.95,3.64,3582.0
1.02,Very Good,G,VS1,63.3,58.0,6.42,6.38,4.05,6861.0
0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3146.0
0.34,Ideal,I,SI1,62.3,55.0,4.47,4.42,2.77,589.0
0.31,Ideal,J,VS2,62.2,55.0,4.32,4.36,2.7,396.0
1.12,Very Good,I,SI1,60.6,60.0,6.73,6.77,4.09,4312.0
0.4,Very Good,E,VVS2,60.3,59.0,4.74,4.78,2.87,1017.0
0.9,Very Good,F,SI1,62.7,59.0,6.12,6.16,3.85,4119.0
0.51,Very Good,E,SI1,62.8,56.0,5.07,5.15,3.21,1438.0
0.43,Ideal,G,SI2,61.3,56.0,4.89,4.87,2.99,935.0
0.91,Premium,E,I1,59.6,59.0,6.29,6.32,3.76,2464.0
0.56,Ideal,F,VS2,61.0,55.0,5.33,5.35,3.26,1708.0
0.7,Very Good,F,VS1,60.0,57.0,5.8,5.87,3.5,2767.0
0.74,Premium,J,SI1,61.6,59.0,5.82,5.77,3.57,1931.0
1.09,Very Good,F,IF,61.1,58.0,6.63,6.69,4.07,10663.0
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2921.0
0.3,Good,D,SI2,60.8,65.0,4.26,4.29,2.6,414.0
0.5,Ideal,H,SI1,62.2,53.0,5.06,5.14,3.17,1154.0
0.31,Ideal,F,IF,62.1,54.0,4.36,4.4,2.72,914.0
0.4,Ideal,G,VVS1,,56.0,4.79,4.75,2.92,1200.0
0.54,Ideal,F,VS2,61.3,57.0,5.29,5.24,3.23,2333.0
0.3,Premium,D,VS1,61.2,59.0,4.34,4.29,2.64,914.0
0.36,Ideal,E,VVS1,61.4,57.0,4.64,4.61,2.54,1043.0
2.03,Very Good,I,VS2,59.9,59.0,8.32,8.24,4.96,16422.0
0.88,Premium,G,VS2,61.1,58.0,6.19,6.15,3.77,3400.0
0.34,Ideal,D,VVS2,61.2,56.0,4.5,4.52,2.76,885.0
0.74,Premium,E,SI2,,58.0,5.77,5.73,3.6,2617.0
0.52,Premium,G,VS1,62.4,60.0,5.12,5.11,3.19,1815.0
0.73,Fair,I,VVS2,64.4,59.0,5.65,5.62,3.63,2351.0
0.41,Ideal,G,SI2,61.3,56.0,4.78,4.81,2.94,605.0
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1324.0
0.96,Good,H,SI2,60.1,64.0,6.43,6.35,3.84,3548.0
0.54,Ideal,D,SI1,60.8,57.0,5.25,5.31,3.21,1662.0
1.52,Ideal,E,SI2,61.0,56.0,7.45,7.41,4.53,8299.0
1.03,Ideal,F,VVS1,61.3,54.0,6.56,6.62,4.04,9881.0
1.09,Premium,I,VS2,61.3,58.0,6.63,6.58,4.05,4659.0
0.37,Premium,E,VS2,61.1,57.0,4.66,4.63,2.84,1041.0
1.01,Good,F,VVS2,65.9,54.0,6.18,6.27,4.1,7001.0
0.64,Ideal,G,VVS2,,54.0,5.53,5.56,3.42,2587.0
1.0,Ideal,F,SI2,61.2,57.0,6.39,6.48,3.94,4372.0
0.51,Very Good,G,VVS2,60.9,56.0,5.17,5.21,3.16,1768.0
1.0,Premium,G,VVS1,62.1,59.0,6.29,6.4,3.94,8008.0
0.69,Ideal,H,SI1,62.1,57.0,5.65,5.62,3.5,1822.0
0.73,Ideal,E,SI1,60.1,56.0,5.91,5.87,3.54,2661.0
0.31,Very Good,H,VS2,60.5,63.0,4.33,4.37,2.63,489.0
0.46,Fair,F,VS2,66.0,58.0,4.9,4.76,3.19,982.0
1.1,Ideal,H,SI2,61.9,56.0,6.65,6.63,4.11,4250.0
0.71,Ideal,I,SI1,60.2,60.0,5.77,5.79,3.48,2319.0
0.31,Ideal,D,SI1,62.0,56.0,4.39,4.35,2.71,684.0
0.39,Ideal,F,VVS1,62.3,55.0,4.67,4.7,2.92,1124.0
0.51,Very Good,F,VS2,60.6,60.0,5.18,5.22,3.15,1601.0
0.31,Premium,D,VS1,59.6,58.0,4.38,4.41,2.62,683.0
0.9,Good,F,SI1,64.2,56.0,6.02,6.1,3.89,4232.0
0.57,Ideal,H,VVS1,60.9,56.0,5.36,5.38,3.27,1949.0
1.05,Ideal,I,SI2,60.9,57.0,6.55,6.62,4.01,4163.0
1.0,Good,F,VS2,61.1,61.0,6.38,6.45,3.92,6841.0
1.1,Premium,I,SI1,62.7,58.0,6.58,6.54,4.11,4435.0
0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,776.0
1.01,Very Good,H,VS2,63.1,59.0,6.34,6.3,3.99,5260.0
0.45,Ideal,F,SI2,62.5,57.0,4.9,4.86,3.05,996.0
0.3,Ideal,G,VS1,62.4,57.0,4.3,4.32,2.69,624.0
0.31,Premium,H,IF,60.5,58.0,4.44,4.38,2.67,1046.0
0.48,Ideal,G,VS1,61.9,55.0,5.02,5.06,3.12,
1.27,Very Good,I,SI1,60.7,61.0,6.97,6.91,4.21,6559.0
2.03,Premium,J,SI2,62.7,59.0,8.02,8.08,5.05,12268.0
0.5,Ideal,D,VS2,61.9,59.0,5.07,5.1,3.15,1712.0
0.43,Premium,D,SI1,60.1,58.0,4.89,4.93,2.95,830.0
1.0,Premium,H,VS1,62.4,58.0,6.43,6.4,4.0,4950.0
1.27,Premium,H,VS2,60.0,61.0,7.03,6.99,4.26,7503.0
1.2,Premium,E,VS2,62.2,59.0,6.82,6.78,4.23,8602.0
1.5,Very Good,D,VS2,63.0,59.0,7.24,7.3,4.58,13372.0
0.38,Premium,G,VS2,60.4,57.0,4.7,4.67,2.83,983.0
0.72,Fair,F,VS2,55.4,64.0,6.06,5.97,3.34,2724.0
0.7,Ideal,G,VS1,61.9,55.0,5.67,5.71,3.52,3384.0
0.36,Premium,D,VS2,59.1,58.0,4.63,4.68,2.75,852.0
1.54,Very Good,D,VS1,59.1,59.0,7.51,7.55,4.45,16750.0
0.38,Ideal,E,SI1,,53.8,4.63,4.67,2.88,693.0
0.4,Very Good,F,VVS2,60.5,57.0,4.76,4.79,2.89,1012.0
1.08,Good,D,SI1,63.8,59.0,6.47,6.39,4.1,5927.0
0.3,Ideal,G,VS1,62.9,57.0,4.31,4.28,2.7,776.0
0.31,Fair,F,VVS2,56.9,59.0,4.45,4.48,2.54,757.0
0.36,Ideal,F,VS2,61.5,55.0,4.6,4.57,2.82,807.0
1.03,Very Good,H,SI2,62.8,59.0,6.4,6.43,4.03,4283.0
0.44,Very Good,E,VVS2,59.6,59.0,4.98,4.99,2.97,1337.0
0.38,Premium,D,VS2,58.8,61.0,4.74,4.71,2.78,1117.0
1.07,Premium,G,VS2,60.5,56.0,6.71,6.64,4.04,6471.0
1.04,Premium,G,VS1,62.0,56.0,6.53,6.46,4.03,6996.0
0.72,Ideal,E,SI1,61.0,57.0,5.77,5.8,3.53,3012.0
0.76,Premium,G,SI2,62.8,60.0,5.81,5.79,3.64,2364.0
0.3,Very Good,G,VVS2,62.1,59.0,4.23,4.27,2.64,684.0
0.71,Very Good,I,VVS1,63.4,57.0,5.71,5.67,3.61,2572.0
0.5,Very Good,D,SI1,58.8,60.0,5.17,5.23,3.06,1436.0
1.15,Very Good,G,SI1,62.2,59.0,6.66,6.71,4.16,5587.0
0.71,Premium,E,VS2,59.9,58.0,5.78,5.81,3.47,2711.0
0.91,Good,D,SI1,64.6,58.0,6.02,6.12,3.92,4265.0
0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78,552.0
1.03,Very Good,F,SI2,61.1,59.0,6.51,6.58,4.0,4218.0
0.31,Good,H,SI1,64.0,54.0,4.31,4.29,2.75,521.0
1.01,Premium,D,SI1,61.2,60.0,6.47,6.41,3.94,5780.0
1.8,Good,F,SI2,57.9,58.0,8.08,8.13,4.69,12196.0
0.54,Good,H,VS2,63.2,55.0,5.2,5.24,3.3,1338.0
0.53,Very Good,F,VS2,61.9,58.0,5.17,5.2,3.21,1631.0
1.51,Premium,J,VS1,62.1,58.0,7.36,7.4,4.58,8371.0
0.57,Ideal,F,SI1,62.2,56.0,5.33,5.31,3.31,1751.0
0.31,Good,H,VS1,63.6,55.0,4.29,4.32,2.74,544.0
0.52,Ideal,D,SI1,60.0,56.0,5.19,5.24,3.13,1600.0
0.31,Very Good,F,VS2,62.7,57.0,4.31,4.36,2.72,500.0
1.74,Premium,H,SI2,59.9,59.0,7.88,7.8,4.7,10874.0
0.3,Ideal,F,VS2,60.3,57.0,4.34,4.39,2.63,568.0
0.43,Very Good,G,VVS1,62.3,59.0,4.77,4.83,2.99,1207.0
0.34,Ideal,F,VS2,61.4,55.0,4.54,4.52,2.78,856.0
0.79,Very Good,F,SI1,58.5,61.0,6.03,6.08,3.54,3073.0
0.51,Premium,E,SI1,58.2,61.0,5.27,5.22,3.05,1340.0
1.2,Very Good,G,VS2,62.2,58.0,6.75,6.79,4.21,8124.0
1.2,Ideal,G,VVS2,61.1,56.0,6.88,6.91,4.21,10454.0
0.3,Ideal,H,IF,62.0,57.0,4.26,4.29,2.65,764.0
1.51,Premium,G,VS1,62.5,58.0,7.27,7.23,4.53,13811.0
1.11,Ideal,E,SI2,61.2,57.0,6.7,6.74,4.11,4969.0
0.3,Ideal,E,VVS2,62.3,54.1,4.28,4.34,2.69,779.0
0.32,Ideal,E,VS2,61.9,55.0,4.43,4.42,2.74,900.0
0.33,Very Good,E,SI2,60.0,59.0,4.47,4.49,2.69,463.0
0.59,Good,E,SI2,57.4,62.0,5.53,5.49,3.16,1327.0
2.14,Ideal,E,SI2,62.7,55.0,8.26,8.21,5.16,13065.0
1.2,Premium,G,VS2,61.4,60.0,6.77,6.81,4.17,7603.0
0.32,Ideal,H,VS2,62.0,55.0,4.38,4.4,2.72,505.0
1.5,Fair,E,SI1,58.2,66.0,7.45,7.4,4.32,11128.0
0.8,Ideal,F,SI1,61.5,54.0,6.07,6.0,3.71,2890.0
1.01,Good,H,SI1,63.4,58.0,6.37,6.41,4.05,4116.0
0.29,Good,E,VVS2,62.7,61.0,4.2,4.22,2.64,633.0
1.5,Very Good,J,VS1,,57.0,7.24,7.2,4.57,8896.0
0.39,Ideal,E,VS1,62.3,57.0,4.67,4.64,2.9,1097.0
0.91,Premium,H,SI1,62.2,60.0,6.22,6.16,3.85,3669.0
0.77,Very Good,H,VS1,61.0,60.0,5.9,5.87,3.59,2840.0
1.01,Premium,I,SI1,62.7,60.0,6.36,6.27,3.96,2885.0
0.31,Ideal,G,IF,61.4,56.0,4.38,4.41,2.7,891.0
0.33,Ideal,G,IF,61.9,56.0,4.43,4.47,2.75,925.0
0.53,Very Good,G,VVS1,61.7,57.0,5.19,5.22,3.21,1948.0
0.4,Ideal,D,VVS2,61.4,56.0,4.75,4.8,2.93,1078.0
1.11,Very Good,G,VS2,60.8,58.0,6.65,6.7,4.06,6593.0
0.39,Ideal,F,VVS2,,54.0,4.7,4.72,2.92,988.0
0.36,Ideal,D,VVS1,61.5,55.0,4.61,4.63,2.84,1718.0
0.38,Premium,H,VS2,60.9,60.0,4.62,4.67,2.83,700.0
0.3,Premium,H,VS2,62.9,59.0,4.3,4.26,2.69,608.0
0.91,Very Good,D,VS1,62.5,56.0,6.14,6.18,3.85,5597.0
0.9,Very Good,E,SI2,61.6,59.0,6.18,6.26,3.83,3924.0
0.3,Ideal,G,VVS1,62.0,58.0,4.28,4.3,2.66,764.0
1.08,Premium,G,VS1,62.9,55.0,6.6,6.53,4.13,6982.0
0.41,Premium,E,VS2,62.1,58.0,4.75,4.78,2.96,935.0
0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,4579.0
0.58,Very Good,J,VS2,62.8,57.0,5.28,5.33,3.33,1090.0
1.5,Premium,E,SI2,61.2,59.0,7.36,7.41,4.52,9900.0
1.27,Good,F,I1,59.2,64.0,7.06,6.99,4.16,4324.0
0.75,Premium,J,VS1,61.6,57.0,5.88,5.84,3.61,1998.0
1.0,Premium,F,SI2,62.5,59.0,6.4,6.28,3.96,4200.0
0.7,Ideal,F,SI1,61.5,56.0,5.74,5.7,3.52,2348.0
0.92,Fair,I,VS2,64.4,58.0,6.13,6.1,3.94,3033.0
0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,2777.0
0.72,Ideal,E,VS2,61.1,56.0,5.78,5.81,3.54,3601.0
0.3,Premium,D,VS2,61.7,59.0,4.28,4.25,2.63,911.0
0.9,Ideal,D,SI1,61.8,57.0,6.22,6.17,3.83,4919.0
2.41,Premium,J,VS1,61.1,60.0,8.66,8.6,5.27,15320.0
0.45,Good,F,VS1,57.6,62.5,5.05,5.09,2.91,1144.0
0.32,Premium,D,VS2,62.9,59.0,4.39,4.36,2.75,842.0
0.2,Premium,E,VS2,59.8,62.0,3.79,3.77,2.26,367.0
1.01,Good,D,VS1,63.1,59.0,6.34,6.37,4.01,7955.0
0.3,Very Good,D,VS2,62.9,59.0,4.22,4.27,2.67,710.0
0.93,Very Good,I,VS2,63.1,58.0,6.19,6.21,3.91,3766.0
0.4,Good,G,SI2,63.4,59.0,4.64,4.66,2.95,596.0
1.0,Very Good,D,SI2,63.4,58.0,6.33,6.3,4.01,3304.0
1.06,Ideal,F,VS2,61.2,57.0,6.58,6.55,4.02,7592.0
1.0,Ideal,E,SI1,61.4,58.0,6.41,6.43,3.94,5555.0
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,7357.0
1.1,Very Good,F,SI2,59.1,57.0,6.72,6.82,4.0,4715.0
0.51,Good,E,SI2,63.3,56.0,5.08,5.12,3.23,1130.0
0.45,Good,E,SI1,63.9,57.0,4.86,4.81,3.09,1063.0
1.03,Good,J,SI2,64.1,62.0,6.37,6.33,4.07,3149.0
1.04,Good,G,VS1,63.8,57.0,6.4,6.43,4.09,7049.0
1.71,Premium,I,VS1,60.3,62.0,7.76,7.7,4.66,10055.0
0.92,Very Good,D,SI1,62.9,56.0,6.18,6.22,3.9,4676.0
0.41,Ideal,E,VVS2,61.5,55.0,4.83,4.79,2.96,1243.0
0.32,Very Good,G,SI2,62.4,59.0,4.35,4.4,2.73,421.0
0.53,Ideal,D,VS1,61.6,56.0,5.23,5.19,3.21,2340.0
0.71,Good,G,VS2,64.0,55.0,5.65,5.67,3.62,2599.0
1.45,Premium,D,SI1,62.2,58.0,7.12,7.03,4.4,10800.0
0.56,Very Good,F,VS2,60.0,57.0,5.34,5.39,3.22,1627.0
0.41,Ideal,J,VS1,62.2,55.0,4.79,4.76,2.97,775.0
0.41,Ideal,E,VVS1,60.7,57.0,4.85,4.8,2.93,1431.0
0.36,Ideal,D,VVS2,61.6,57.0,4.59,4.56,2.82,1114.0
0.54,Ideal,G,VVS2,61.8,56.0,5.23,5.25,3.24,1985.0
0.8,Good,G,VS1,63.2,60.1,5.77,5.85,3.67,3283.0
0.3,Ideal,H,SI1,62.1,56.0,4.29,4.31,2.67,450.0
0.31,Ideal,F,VVS1,61.1,55.0,4.38,4.39,2.68,840.0
0.26,Ideal,F,VS1,60.9,57.0,4.13,4.11,2.51,580.0
1.23,Premium,D,SI2,58.9,58.0,6.99,6.97,4.11,5283.0
1.19,Very Good,H,VS2,60.5,59.0,6.97,7.0,4.17,6781.0
1.36,Ideal,G,VVS2,61.1,57.0,7.14,7.2,4.38,11848.0
1.52,Premium,H,VS1,58.4,59.0,7.55,7.52,4.4,11853.0
1.01,Premium,F,VS2,62.2,60.0,6.4,6.37,3.97,6533.0
0.9,Fair,I,SI2,65.3,57.0,5.98,5.93,3.89,2536.0
2.03,Ideal,J,VS2,60.5,57.0,8.26,8.2,4.98,14083.0
0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,1289.0
0.41,Ideal,E,VVS2,61.6,56.0,4.8,4.78,2.95,1243.0
0.31,Good,E,SI1,63.1,57.0,4.28,4.31,2.71,544.0
0.39,Premium,F,VVS1,59.7,58.0,4.73,4.75,2.83,1232.0
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2384.0
1.02,Premium,G,SI1,62.3,59.0,6.44,6.4,4.0,4718.0
1.0,Good,H,SI2,63.9,55.0,6.41,6.34,4.07,3584.0
0.7,Good,I,SI2,63.5,56.0,5.59,5.63,3.56,1675.0
1.0,Very Good,F,SI2,61.6,62.0,6.3,6.37,3.9,4255.0
0.32,Ideal,F,IF,62.5,54.0,4.38,4.42,2.75,943.0
1.02,Very Good,H,SI1,64.4,59.0,6.24,6.36,4.06,5047.0
1.2,Good,G,VS2,57.8,59.0,7.06,7.0,4.06,8032.0
0.32,Ideal,H,SI1,61.5,55.0,4.41,4.43,2.72,434.0
1.04,Good,G,VS2,61.4,65.0,6.53,6.47,3.99,5601.0
1.04,Very Good,E,SI1,63.5,56.0,6.41,6.37,4.06,5381.0
0.91,Very Good,G,SI2,63.3,57.0,6.12,6.08,3.86,3282.0
0.72,Premium,I,SI1,61.5,59.0,5.73,5.78,3.54,2148.0
1.37,Premium,G,VS2,61.6,59.0,7.11,7.04,4.36,7951.0
0.31,Very Good,H,VS1,61.7,61.0,4.31,4.34,2.67,544.0
1.01,Ideal,F,VS2,62.0,56.0,6.46,6.51,4.02,6416.0
0.91,Ideal,E,SI1,61.0,57.0,6.27,6.32,3.84,4706.0
0.34,Very Good,F,SI1,59.4,62.0,4.54,4.59,2.71,566.0
0.34,Ideal,G,VS2,62.4,57.0,4.46,4.48,2.79,517.0
